nombre, poblacion, superficie, continente
Argentina, 45376763, 2780400, América
Japón, 125800000, 377975, Asia
Brasil, 213993437, 8515767, América
Alemania, 83149300, 357022, Europa
Francia, 67390000, 551695, Europa
Canadá, 38000000, 9984670, América
Australia, 25600000, 7692024, Oceanía
Sudáfrica, 59300000, 1221037, África
Egipto, 102000000, 1001450, África
India, 1408000000, 3287263, Asia
México, 126000000, 1964375, América
España, 47400000, 505992, Europa
Nueva Zelanda, 5100000, 268021, Oceanía
China, 1412000000, 9596960, Asia